Organization,Mission,Families,Educators,Workspace,Rank
The Shriners Hospital for Children,0.241984974,0.2563482,0.250732529,0.235412259,0.244741318
Hospice of Palm Beach County Inc,0.04109483,0.07964563,0.067667446,0.054617119,0.054202447
Clay Charter Academy,0.174229267,0.205230676,0.167077255,0.182730351,0.179621014
Amc Medical Associates Inc,0.11552962,0.161348046,0.144364557,0.117703506,0.128334161
Bartow Regional Medical Center Inc,0.100122885,0.135585768,0.124478334,0.095628221,0.109343496
Gulliver Schools Inc,0.091695975,0.124575558,0.085912209,0.104643867,0.098369926
The Community Foundation for Northeast Florida,0.204166521,0.242081946,0.236725816,0.232039314,0.220557773
Virginia Bankers Association Group Benefits Trust,0.240090722,0.266345186,0.256947103,0.217810647,0.243562517
G4S Secure Solutions USA Group Insurance Program for Empl & DEPS,0.182730401,0.211298989,0.203658226,0.150675144,0.185637261
Health First Inc Welfare Benefit Plan,0.236255938,0.262759157,0.239994867,0.183697946,0.232536631
TrustBridge Global Foundation USA Inc.,0.031926588,0.030644994,0.057360975,0.051692652,0.039246398
"SUNRISE COMMUNITY, INC.",0.074551801,0.112006182,0.095448457,0.081627199,0.085456207
Florida Credit Union,0.126438906,0.169840018,0.154068334,0.11965258,0.137146275
Orlando Orange County Convention & Visitors Bureau Inc,0.119485781,0.158143883,0.148390542,0.113824547,0.129802719
"Embrace Families Community Based Care, Inc.",0.070332817,0.096912552,0.085556268,0.075201324,0.078111433
GULF COAST COMMUNITY FOUNDATION INC,0.092815617,0.132956637,0.124679893,0.122443497,0.10975448
Community Health of South Florida Inc,0.100096031,0.141715485,0.116887297,0.091381374,0.108378708
Citrus Health Network Inc,0.189888042,0.225908313,0.202429573,0.169812544,0.194635759
Anc Healthcare Inc,0.126769811,0.174340146,0.152294576,0.120531635,0.137912632
Pediatric Specialty Group Inc,0.141232451,0.182784226,0.149461304,0.134838192,0.148463512
University of Central Florida Foundation Inc.,0.215886497,0.23498076,0.20946004,0.209068179,0.216861412
CAMELOT COMMUNITY CARE,0.068474816,0.096339699,0.090127356,0.082230398,0.079020317
REDLANDS CHRISTIAN MIGRANT ASSOCIATION,0.117174766,0.118939038,0.111766803,0.120275708,0.117084308
"Orange County School Readiness Coalition, Inc.",0.036114877,0.049712217,0.045598312,0.051036325,0.042448581
Flagler College Inc,0.106521862,0.133015502,0.090350758,0.100310225,0.107207012
Miami Beach Community Health Center Inc,0.140995838,0.183683649,0.165172432,0.123960923,0.149300753
Anc McDowell Hospital Inc,0.082913606,0.139185779,0.108414995,0.084155567,0.096749527
Lakeland Regional Health Systems Inc,0.094390507,0.14615297,0.118817617,0.092565319,0.106784571
Cancer Treatment Centers of America Global Inc Employee Welfare Benefi,0.211929596,0.257703584,0.224914219,0.177038719,0.215907552
FLORIDA CHARTER FOUNDATION INC,0.090641942,0.125859016,0.074165458,0.10099243,0.095490455
"Episcopal Children's Services, Inc.",0.035235391,0.048971711,0.037642664,0.050439509,0.040460009
Care Resource Community Health Centers Inc.,0.080149872,0.117174628,0.097906597,0.074346927,0.088312961
Anc Transylvania Community Hospital Inc,0.120137273,0.168478275,0.134900251,0.109593112,0.128897243
Southeast Florida Behavioral Health Network Inc,0.077765919,0.137076179,0.105650636,0.078654733,0.092446551
"Goodwill Industries Manasota, Inc.",0.174700234,0.189939528,0.197878957,0.185746564,0.182944292
Central Florida Electric Cooperative Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
"Goodwill Industries of Central Florida, Inc.",0.046177131,0.078509155,0.064982713,0.040367528,0.053731798
"Goodwill Industries Suncoast IndustriesSuncoast, Inc.",0.0580797,0.085018804,0.089569311,0.07553511,0.070727054
Chapters Health System Inc,0.066159787,0.092262304,0.101513319,0.079940835,0.078699303
United Way of Miami Dade MiamiDade Inc,0.08433757,0.097717895,0.097538434,0.08474366,0.08883545
Suwannee Valley Electric Cooperative Inc,0.099970956,0.149891012,0.131650212,0.104983804,0.114406316
Baptist Health Care Corporation,0.143538241,0.151532108,0.152036013,0.146916061,0.146849818
Early Learning Coalition of Duval Inc,0.064344261,0.077923955,0.054555763,0.067582185,0.065515781
IBM Southeast Employees Credit Union,0.112177444,0.166129572,0.143043635,0.114162975,0.126644752
Covenant Hospice Inc,0.055891802,0.082264708,0.082925632,0.068571268,0.066906169
Broward Behavorial Health Coalition Inc,0.116639226,0.164071319,0.131493229,0.100822725,0.124384159
Family Health Centers of Southwest Florida Inc,0.10194937,0.14248929,0.122021974,0.090390414,0.110124964
Blue Cross and Blue Shield of Florida Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
West Florida Electric Cooperative Asso Inc,0.090701214,0.13926949,0.121350271,0.084385505,0.102851484
Emory University,0.063675627,0.102191504,0.069419092,0.074901543,0.07292317
Northside Hospital Inc,0.068065892,0.111919589,0.091772621,0.078773898,0.081110631
Global Health Solutions Inc,0.131002251,0.177605869,0.170550955,0.130593254,0.145292805
Emory,0.088834681,0.125088268,0.103471657,0.077690352,0.095459053
Childrens Healthcare of Atlanta Inc,0.136755514,0.109771951,0.143610005,0.152014273,0.135943795
Grady Memorial Hospital Corporation,0.122080945,0.169813623,0.135694349,0.116513383,0.131377365
NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,0.308897086,0.337503194,0.302310062,0.327556614,0.315676854
Northeast Georgia Medical Center Inc,0.231151975,0.255889055,0.233416764,0.209976059,0.232122967
Kennestone Hospital Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Wellstar Health System Inc,0.096015573,0.139747515,0.118522032,0.089545274,0.105976923
Piedmont Hospital Incorporated,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
Delta Account Based Medical Tr,0.199538759,0.21971829,0.213194402,0.173899182,0.200904692
United Parcel Service VEBA Ups Health and Welfare Plan,0.129411903,0.160675649,0.153896592,0.105356833,0.134694131
A Good Name Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
"American Cancer Society, Inc.",0.140686668,0.145107267,0.163174473,0.156307757,0.147774917
Caresource Georgia CO,0.284875251,0.314626885,0.299140919,0.248193434,0.286097832
CARE,0.055919959,0.081956532,0.080812212,0.063388494,0.065652852
MAP International,0.049009172,0.069157413,0.077593862,0.058469181,0.058707995
Jackson Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
University Health Services Inc,0.126556969,0.1684399,0.150334087,0.114733001,0.135529649
Phoebe Putney Memorial Hospital Inc,0.124720986,0.165776334,0.149232272,0.114580893,0.133958743
Savannah College of Art and Design Inc,0.152327182,0.170422239,0.116676232,0.163621318,0.151283556
Emory University,0.119022191,0.155599864,0.135092126,0.11010354,0.126310351
Piedmont Athens Regional Medical Center Inc,0.10926531,0.133999719,0.124236035,0.111599564,0.116271875
Societe International De Telecommunications & Aeronautiques,0.163809256,0.226438305,0.195180881,0.156770998,0.178302992
Georgia Tech Applied Research Corporation,0.151713781,0.199648063,0.161055532,0.140044875,0.159314969
Cobb Hospital,0.096015573,0.139747515,0.118522032,0.089545274,0.105976923
Fayette Community Hospital Inc,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
Cobb Electric Membership Corporation,0.141879393,0.18540884,0.177923463,0.136630525,0.154266834
The Medical Center Inc,0.10391851,0.162582969,0.126831796,0.113956232,0.119187754
Floyd Healthcare Management Inc,0.243649122,0.283139261,0.260503858,0.230416869,0.250834559
Wellstar Atlanta Medical Center Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Sawnee Electric Membership Corp,0.097254088,0.153083571,0.135025754,0.092185175,0.11200946
Southeast Georgia Health System Inc,0.099771354,0.13907611,0.123014919,0.09442369,0.109304797
The Corporation of Mercer University,0.042984994,0.071929144,0.051868216,0.062403006,0.052525891
Tanner Medical Center Inc,0.091703466,0.145983088,0.112796955,0.086841706,0.103455358
John D Archbold Memorial Hospital Inc,0.348611431,0.402590753,0.368072034,0.295181113,0.351946366
Georgia Tech Research Corporation,0.163040549,0.211592962,0.172001072,0.149922107,0.170439631
Piedmont Henry Hospital Inc,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
Georgia Transmission Corporation,0.455628463,0.500375429,0.4907978,0.468692753,0.471125229
Walton Emc,0.071916522,0.122833307,0.115900986,0.084485305,0.089828194
Hamilton Medical Center Inc,0.10331654,0.143211784,0.121129248,0.090689059,0.110829952
Greystone Power Corporation An Electric Membership Corporation,0.132474539,0.184552866,0.167950329,0.130407202,0.146722336
Candler Hospital Incorporated,0.112509885,0.138789823,0.133427661,0.104869483,0.11910277
Habitat for Humanity International,0.078544584,0.096819071,0.108154863,0.100720922,0.090221435
Delta Community Credit Union,0.075784933,0.110406489,0.112299199,0.089230248,0.089881789
Piedmont Newnan Hospital Inc,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
"Shepherd Center, Inc.",0.06899432,0.097151668,0.099403646,0.066196706,0.078289163
Carter Center Collaborative Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
North Georgia Electric Membership,0.066123063,0.10227362,0.100829227,0.080887573,0.080393268
Houston Hospitals Inc,0.143881308,0.195698132,0.163908187,0.128156861,0.153234517
Health Scholarships Inc,0.193014834,0.253038057,0.222378273,0.165368804,0.203304939
Tanner Medical Center,0.132809146,0.171547676,0.150888978,0.131235028,0.14201652
United Parcel Service Health and Welfare Plan Tr,0.130147982,0.170261006,0.162424845,0.114045162,0.13952916
Saint Josephs Hospital Inc,0.123364047,0.145898666,0.144079747,0.11591079,0.129330224
Suntrust Banks Employee Benefit Trust,0.139180459,0.172371352,0.162386411,0.116531017,0.144805026
Flint Electric Membership Corporation,0.069860835,0.092943079,0.099057281,0.095739406,0.082887045
Gsma Ltd,0.152140899,0.194091851,0.176588333,0.149272636,0.162729253
Lettie Pate Evans Foundation Inc Trustee of the Restricted Fund Uw,0.145621454,0.174476395,0.180938151,0.151607944,0.157314476
Childrens Healthcare of Atlanta,0.136755514,0.109771951,0.143610005,0.152014273,0.135943795
St Marys Health Care System Inc,0.125090628,0.152990953,0.144324271,0.129371328,0.133659739
"Community Foundation for Greater Atlanta, Inc.",0.081035142,0.118718121,0.100146917,0.086237041,0.091367918
Georgia Tech Foundation Inc,0.110210328,0.140727585,0.117705943,0.099702582,0.114794516
University of Georgia Foundation,0.116017937,0.1559106,0.121433791,0.103356762,0.121459161
Paulding Medical Center Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Snapping Shoals Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Wellstar North Fulton Hospital Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
University of Georgia Research Foundation Inc,0.138006816,0.181139182,0.142213664,0.12586071,0.143872334
Georgia Energy Cooperative An Electric Membership Corporation,0.100962835,0.152096172,0.141588647,0.112127286,0.118116768
West Georgia Medical Center Inc,0.096015573,0.139747515,0.118522032,0.089545274,0.105976923
Medical Center of Central Georgia Inc,0.102609068,0.144230241,0.115313617,0.084155366,0.108587738
Phoebe Physician Group Inc,0.243160401,0.287759977,0.255106195,0.224004577,0.249391992
Coweta Fayette Electric Membership,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Northeast Georgia Health System Inc,0.160141092,0.201260263,0.175436442,0.143023455,0.166690573
Adventist Health System Georgia Inc,0.090730242,0.129613344,0.111357083,0.090137997,0.100549858
Marcus Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
University of Georgia Athletic Association Inc,0.060733552,0.098764995,0.067334333,0.070424006,0.069787332
Spelman College,0.106178807,0.137548158,0.100463508,0.110414358,0.111160408
Douglas Hospital Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Koch Industries Employee Group Benefit Trust,0.16760933,0.198515324,0.182001361,0.136003113,0.169891298
Piedmont Healthcare Inc,0.135172677,0.18277719,0.161059906,0.1327662,0.147020221
"Atlanta Community Food Bank, Inc.",0.058310345,0.069067526,0.080334317,0.070080702,0.065735597
Northeast Georgia Physicians Group Inc,0.115219528,0.144253266,0.138961125,0.113304544,0.123696253
Clark Atlanta University Inc,0.062662593,0.102119636,0.07296731,0.074123643,0.072866395
Berry College Inc,0.077805291,0.111233819,0.077539051,0.085899476,0.08468137
Piedmont Rockdale Hospital Inc,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
"Goodwill of North Georgia, Inc.",0.028244219,0.046613635,0.053938225,0.038051985,0.03722275
The Morehouse School of Medicine Inc,0.095525952,0.143586849,0.110697364,0.086030163,0.104482039
Boys & Girls Clubs of America,0.042780552,0.066763589,0.073597989,0.067198439,0.055983612
Wellstar Spalding Regional Hospital Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Au Medical Associates Inc,0.111548652,0.157337868,0.136771963,0.108546999,0.122883798
Georgia Bankers Association Insurance Trust Inc,0.140680464,0.172966467,0.157467555,0.110019543,0.14374916
Robert W Woodruff Health Sciences Center Fund Inc,0.148051595,0.173685494,0.146761569,0.131152141,0.149292331
Coffee Regional Medical Center Inc,0.21541279,0.247795599,0.238759938,0.204705399,0.222916551
Georgias Own Credit Union,0.298467305,0.337396858,0.314140809,0.305096115,0.308672616
"The Carter Center, Inc.",0.042785187,0.085887445,0.072280871,0.055175319,0.056949866
Gwinnett Hospital System Inc,0.141243929,0.168790191,0.155629282,0.127560617,0.14595198
Delta Family Care FamilyCare and Surv Tr,0.302173689,0.324940313,0.311776353,0.255026704,0.29971074
Colquitt Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
University Health Incoporated,0.127369728,0.16267993,0.137542156,0.104574522,0.131150965
Carroll Electric Membership Corp,0.07709308,0.119301437,0.117203841,0.091598829,0.093230558
"YMCA of Metropolitan Atlanta, Inc.",0.03482225,0.043062926,0.054416979,0.051203537,0.042191699
Central Georgia Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Morehouse College,0.078723887,0.097040888,0.077852434,0.090040717,0.083517616
Satilla Rural Electric Membership Corp,0.068958356,0.114959529,0.112499869,0.081684694,0.086003193
Robert W Woodruff Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
"United Way of Greater Atlanta, Inc.",0.074114843,0.112503794,0.089817582,0.067532883,0.082033131
Upson County Hospital Inc,0.109719503,0.150052408,0.134565432,0.103321119,0.119516245
Meadows Regional Medical Center Inc,0.162480661,0.210212702,0.186244265,0.160896777,0.174132621
Robins Financial Credit Union,0.148568009,0.199575441,0.183231534,0.145289617,0.162300103
Guardian Foundation Inc,0.152131298,0.186884803,0.171114687,0.140083264,0.159079441
Institute of Nuclear Power Operations,0.15575311,0.215650138,0.198306261,0.173424225,0.175773326
Atlantic Coast Conservancy Inc,0.130162105,0.190715758,0.154739051,0.134616916,0.145093007
Piedmont Newton Hospital Inc,0.104908428,0.16441417,0.128575054,0.116497234,0.120701957
Westminster Schools Inc,0.087082218,0.080656667,0.076975757,0.09355884,0.08540632
Crisp Regional Hospital Inc,0.057298728,0.091139507,0.08770919,0.064022331,0.069127869
Health Systems Facilities Inc,0.193014834,0.253038057,0.222378273,0.165368804,0.203304939
Community Ancillary Services Inc,0.18070498,0.220886788,0.203178729,0.150542711,0.186120528
Blue Ridge Mountain Electric Membership Corp 101-10 IRC,0.077537012,0.126342296,0.11508418,0.097965472,0.09533383
"In Touch Ministries, Inc.",0.097743799,0.115980724,0.114612971,0.113727894,0.106258831
Georgia State University Research Foundation Inc,0.090664582,0.133486177,0.110168059,0.086126734,0.100295786
Georgia Aquarium Inc,0.13132859,0.178950375,0.136485657,0.142453627,0.141979238
Tsys Medical Benefits Trust,0.141603427,0.174198952,0.166919946,0.129133238,0.149177069
Diverse Power Incorporated,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Amicalola Electric Membership Corp,0.077449631,0.126583842,0.121007888,0.088185835,0.094687743
Georgia Cyber Academy,0.194938128,0.254806375,0.178903928,0.20267923,0.203533986
Distribution Cooperative Inc,0.099294214,0.140181687,0.139752488,0.105731968,0.113924798
Woodward Academy Inc,0.084868916,0.12063496,0.089078795,0.105089425,0.094901655
United Food & Commercial Workers Unions & Emplys Health & Wlfare Fd,0.213545639,0.253069322,0.231644314,0.178396531,0.217291181
Hughston Hospital Inc,0.10391851,0.162582969,0.126831796,0.113956232,0.119187754
Thdf II Inc,0.104733631,0.135314944,0.126099352,0.08597301,0.1102647
Georgia Tech Athletic Association,0.060056908,0.098529493,0.078370737,0.07462061,0.071948594
The Woodruff Arts Center,0.120009738,0.165099588,0.124700515,0.137924466,0.131292297
Phoebe Sumter Medical Center Inc,0.243160401,0.287759977,0.255106195,0.224004577,0.249391992
Atlanta Postal Credit Union,0.083194772,0.13054929,0.114407464,0.091108912,0.09760833
Georgia System Operations Corporation,0.139127883,0.188885386,0.168766606,0.131767029,0.151133778
Union County Hospital Authority,0.10308988,0.143091542,0.122403479,0.097014043,0.111963117
Piedmont Mountainside Hospital Inc,0.10391851,0.162582969,0.126831796,0.113956232,0.119187754
Georgia State University Foundation Inc,0.1459967,0.183862727,0.148039764,0.142326074,0.152036444
Hart Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
"The Arthritis Foundation, Inc.",0.093806759,0.10925439,0.11271905,0.094921045,0.099719127
"National Foundation for the Ctrs for Disease Contr & Prevention, Inc.",0.140387662,0.185127487,0.161325064,0.126593748,0.149034881
Lyrasis,0.11757719,0.168624988,0.133688449,0.126486289,0.130255216
James M Cox Foundation of GA Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Associated Credit Union,0.077463919,0.115671097,0.110177726,0.087779397,0.09100333
Bank of Sweden Tercentenary Foundation,0.119061805,0.149375409,0.144220891,0.115302689,0.127680734
Delta Pilots Disability,0.265330108,0.291353287,0.276372284,0.226126199,0.264973683
North American Electric Reliabilitycorporation,0.167997975,0.229147127,0.215242067,0.172003933,0.186731175
Jefferson Energy Cooperative,0.066986361,0.112569974,0.101064812,0.085714625,0.083384749
Georgia United Credit Union,0.074883727,0.109338643,0.108113269,0.077964067,0.08667786
Okefenoke Rural Electric Membership Corporation,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Lge Community Credit Union,0.173946628,0.217405897,0.192932319,0.171434051,0.183935359
Mercedes Benz MercedesBenz of North America Inc Vol Empl Beneficiary Assoc Plan,0.167315395,0.209240126,0.18613468,0.144194841,0.173585972
Life University Inc,0.080696637,0.107013092,0.070586117,0.082082829,0.083628658
Habersham Electric Membership Corportaion,0.063122584,0.10980715,0.096837404,0.075694477,0.078617797
Lovett School,0.060989415,0.093200851,0.072604677,0.083689029,0.072077134
Kipp Metro Atlanta Collaborative Inc,0.086742559,0.112590745,0.078017854,0.095106527,0.090990467
Insurance Trust for Delta Retirees Inc,0.158549272,0.197679543,0.186700673,0.141751872,0.166963317
Georgia Stevedore Association- Inte Longshoremens Association,0.148869553,0.183824755,0.16724076,0.119735072,0.152901541
Agnes Scott College,0.107156779,0.115101531,0.111678499,0.118836855,0.111181204
Cooperative Healthcare Services Inc,0.089428525,0.136990997,0.114422522,0.08352547,0.100537427
Brenau University Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Itpeu Health & Welfare Fund,0.503905004,0.527368901,0.504759496,0.439485542,0.497221492
Piedmont College,0.116592466,0.161563471,0.116726709,0.126487094,0.125759112
Coastal Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Lettie Pate Whitehead Foundation Inc,0.127110996,0.1486924,0.119733225,0.113131658,0.127148378
Augusta University Research Institute Inc,0.114725134,0.158243032,0.127488286,0.101230814,0.121856255
John Bulow Campbell Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Mitchell Electric Membership,0.068365,0.115784077,0.111855294,0.081342007,0.085679396
Canoochee Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Oglethorpe University Inc,0.075868862,0.112118287,0.068600393,0.085796621,0.082353648
Equifax Inc Voluntary Employees Beneficiary Association,0.163084264,0.200955394,0.183946872,0.143059277,0.169535722
Christian Advocates Serving Evangelism Inc,0.099779697,0.138628683,0.134731529,0.110191277,0.113815097
"The Task Force for Global Health, Inc.",0.116820795,0.163975522,0.150621866,0.123514215,0.131428998
Kennesaw State University Foundation Inc,0.247851681,0.267441906,0.245979616,0.234631633,0.248601366
Rha Health Services Inc,0.140185139,0.172232183,0.16003805,0.126452268,0.146546319
Delta Pilots Medical Trust,0.199538759,0.21971829,0.213194402,0.173899182,0.200904692
Altamaha Electric Membership Corporation,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Joseph B Whitehead Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Sumter Electric Membership Corporation,0.077449631,0.126583842,0.121007888,0.088185835,0.094687743
Covenant College Inc,0.074346103,0.097122204,0.079986806,0.096437555,0.082764146
Pruitt Corporation Employee Welfare,0.122644448,0.155444093,0.148295921,0.096461816,0.128022529
Young Harris College,0.123851918,0.138886634,0.109656712,0.123195117,0.123882369
The University Financing Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Ups Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Jewish Federation of Greater Atlanta Inc,0.122509083,0.151610253,0.148484896,0.141991336,0.134935622
Visiting Nurse Health System,0.073713742,0.096863192,0.089704096,0.0836513,0.081893302
Effingham Hospital Inc,0.099209942,0.14310008,0.12947845,0.112373509,0.113763644
8Mha Healthcare Center Inc,0.176969927,0.165087906,0.172824652,0.211072693,0.179982505
Tri County TriCounty Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Phoebe Putney Health Systems Inc,0.08411351,0.124066116,0.112061648,0.088814986,0.09621388
Winshape Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Boys & Girls Clubs of America,0.068100748,0.092715137,0.082404712,0.068699668,0.07468696
Commonwealth Forest Investments,0.102825679,0.132958043,0.137980079,0.103789743,0.113867484
Peach Bowl Inc,0.113733459,0.132070184,0.121942054,0.124283473,0.119916015
Smarr Emc,0.382750661,0.442847955,0.4300469,0.409557411,0.405117375
Lagrange College,0.097337902,0.12341127,0.099451669,0.110564167,0.104240136
Excelsior Electric Membership Corporation,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Southern Rivers Energy,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Careconnect Health Inc,0.090047824,0.126837031,0.123151742,0.086154418,0.101047777
Stephens County Hospital Authority,0.04820537,0.094815255,0.080827495,0.054826153,0.062514169
Partners Cooperative Inc,0.17544347,0.227490827,0.202053381,0.158643455,0.185753012
Reinhardt University,0.179068319,0.204663039,0.156862451,0.18013274,0.179810531
United Food & Commercial Workers Emplys Health & Welfare Fund,0.208434428,0.24782124,0.226674074,0.173957777,0.212292729
Foundation for Affordable Rental Housing Holdings Inc,0.221403606,0.256002865,0.246117974,0.203734838,0.228344416
Donalsonville Hospital Inc,0.154735103,0.182107385,0.177256529,0.153754968,0.162887365
Greater Atlanta Christian Schools Inc,0.111254758,0.102315912,0.125306397,0.143282711,0.117444882
First Step Staffing,0.078728371,0.118370399,0.100215928,0.068502577,0.087212336
Community Rehabilitation Services Inc,0.149434889,0.191751886,0.16558636,0.122670525,0.154718906
Oakhurst Medical Centers Inc,0.139374087,0.19800177,0.168461296,0.134073995,0.153109887
Planters Electric Membership Corp,0.079935005,0.127893637,0.122404451,0.090518595,0.096770283
Synovus Financial Corp Medical &,0.228831119,0.264760591,0.247418344,0.188923203,0.231265916
Columbus Regional Healthcare System Inc,0.10391851,0.162582969,0.126831796,0.113956232,0.119187754
Home & Community Services Inc,0.136570933,0.182830404,0.159726205,0.118936407,0.145200969
Washington Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
Albany Area Primary Health Care Inc,0.061158462,0.098899351,0.084816091,0.055958831,0.070524943
Grady Electric Membership Corporation,0.180672057,0.229343983,0.207706579,0.190323148,0.194898314
Georgia Stevedore Association Intl Longshoremens Assoc Welfare Fund,0.153955301,0.199515325,0.179741944,0.13510817,0.162705224
Chantal and Tommy Bagwell Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Cherokee Town & Country Club Inc,0.051765576,0.088511475,0.082366582,0.065117686,0.065215412
Taylor Regional Hospital,0.144791931,0.184105578,0.158111672,0.131029182,0.151270371
Tri State TriState Electric Membership Corp,0.185704067,0.237925793,0.211251647,0.189453212,0.199290476
Community Health Systems Inc,0.119032993,0.173348484,0.140967188,0.102250078,0.128944121
Ninth District Opportunity Inc,0.08339015,0.114932628,0.105531875,0.095143053,0.094296334
HENRY W GRADY FOUNDATION INC,0.112317186,0.152142289,0.132871767,0.097936011,0.119983604
Lauren and Lee Fixel Family Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Rayle Electric Membership Corp,0.070673246,0.118991991,0.114554128,0.083880168,0.088241004
The Arthur M Blank Family Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
University Extended Care Inc,0.084776135,0.113380158,0.109765004,0.094553578,0.095337858
"Pace Academy, Inc.",0.044074195,0.074810273,0.05663029,0.06301609,0.05444654
Bacon County Health Services Inc,0.094419333,0.136926541,0.111869003,0.086824805,0.103146391
Atlanta International School Inc,0.032159434,0.069534971,0.058515136,0.049176005,0.045617402
Georgia Tech Facilities Inc,0.109063694,0.148393665,0.124261542,0.10303261,0.117146483
Shorter University Inc,0.150259375,0.195931057,0.162835359,0.168678908,0.163037242
Goodwill of Middle Georgia and the Central Savannah River Area,0.080714275,0.099425482,0.087582753,0.085076585,0.085704607
Wesleyan School Inc,0.091052206,0.120157549,0.086416851,0.111239678,0.098495116
Soma Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Clinical Services Inc,0.156450467,0.208416751,0.178898446,0.137631267,0.165716311
Three Notch Electric Membership Corp,0.112231267,0.162281092,0.15299818,0.124576958,0.129425005
Lenbrook Square Foundation Inc,0.054135536,0.094483661,0.079366743,0.06723252,0.067248255
Columbus Ambulatory Healthcare Services Inc,0.10391851,0.162582969,0.126831796,0.113956232,0.119187754
Cognia Inc,0.065927965,0.109516936,0.073923963,0.064962053,0.074364474
"Second Harvest of South Georgia, Inc.",0.063040124,0.082155504,0.089107792,0.075344044,0.072621285
Emory - Childrens Pediatric Institute Inc,0.144351343,0.173671116,0.140602952,0.138956303,0.147714067
Alliant Health Solutions Inc,0.122517648,0.178080429,0.141379375,0.102809052,0.131636967
Point University Inc,0.114430522,0.14209459,0.097653957,0.117153431,0.116698924
The Murray & Sydell Rosenberg Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Polk Medical Center Inc,0.144867255,0.176993682,0.160039463,0.133197626,0.150805423
Atlanta Convention & Vistors Bureau Inc,0.173855114,0.217627326,0.196907758,0.162761066,0.183143582
"Golden Harvest Food Bank, Inc.",0.203332583,0.195812775,0.220403065,0.246119111,0.21205545
Hawaii Pacific Health Group Return,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
The Queens Medical Center,0.117077825,0.150548623,0.138322521,0.11745305,0.126259611
Trustees of the Estate of Bernice Pauahi Bishop,0.121223735,0.157583376,0.125921484,0.130307918,0.129580664
Alohacare,0.116297579,0.154421535,0.137339372,0.094326302,0.122496658
Hawaii Dental Service,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Hawaii Pacific Health,0.11319746,0.159114854,0.140487948,0.103713225,0.123818068
Kauai Island Utility Cooperative,0.089413386,0.138488493,0.120884204,0.102884227,0.105082847
The Queens Health Systems,0.12622191,0.170962393,0.149470734,0.116815981,0.135985806
Kuakini Medical Center,0.144775183,0.187656676,0.151764791,0.122117624,0.149310773
Punahou School,0.054832005,0.091013698,0.067794119,0.076747841,0.066675279
