Name,IrsSubsection,Location,Ein,Mission
Sun Valley Ski Education Foundation Inc,501(c)(3) Public Charity,"Sun Valley, ID",82-0264946,"to provide exceptional snowsport programs for the youth of the wood river valley thereby enabling each participant to reach his/her athletic potential, while developing strong personal character through good sportsmanship, strong values, and individual goals. svsef is a cornerstone institution in our community that exemplifies the wood river valley traditions of excellence, good sportsmanship and mountain adventure.  team members acquire the tools for success, not only in their winter sport, but also in the pursuit of their ultimate goals and dreams. our athletes and their families enrich our community, fortifying the economic sustainability of our valley, and affirming that svsef is a vital organization in the wood river valley."
Crane Creek Country Club Inc,501(c)(7) Social and Recreation Clubs,"Boise, ID",82-0255952,"to provide golf, pool, tennis, workout, bar and restaurant facilities to its members."
WITCO INC,501(c)(3) Public Charity,"Caldwell, ID",23-7377526,"""witco recognizes that all life has value and is dedicated to creating opportunities to those we  serve, to realize their potential, enhance the quality of their lives and reach their personal goals."" "
Gem Innovatoin Schools of Idaho Inc,501(c)(3) Public Charity,"Deary, ID",41-2144838,the mission of the organization is to provide resources and support to parents who have elected to educate their children at home.
Yanke Health Benefit Trust,501(c)(9) Employees Associations,"Boise, ID",82-0381908,"yanke health trust provides employee health, dental, and life insurance benefits."
Elizabeth M Webster & Maricich Paen MaricichPaen Family Foundation,501(c)(3) Private Non-Operating Foundation,"Hailey, ID",81-1808847,this organization has not provided guidestar with a mission statement.
Friends of Children and Families Inc,501(c)(3) Public Charity,"Boise, ID",82-0408564,"our mission is to provide high quality services by educating, serving, and partnering with families to create a community of life-long learners. "
Living Independence Network Corporation,501(c)(3) Public Charity,"Boise, ID",82-0426465,"living independence network corp was founded in 1988 to empower people with disabilities to achieve their desired level of independence, and to promote personal growth and freedom of choice."
Another Choice Virtual Charter School,501(c)(3) Public Charity,"Nampa, ID",26-3533892,public education (local educational agency).
Lamb Weston Charitable Foundation,501(c)(3) Private Non-Operating Foundation,"Eagle, ID",83-0562671,this organization has not provided guidestar with a mission statement.
Brien and Shelly Deatley Family Foundation Corporation,501(c)(3) Private Non-Operating Foundation,"Lewiston, ID",83-2503206,this organization has not provided guidestar with a mission statement.
Idaho Health Data Exchange Inc,501(c)(3) Public Charity,"Boise, ID",74-3249732,to improve the quality and coordination of care in idaho thrugh the implementation of statewide health informaiton exchange.
Wafwa Species Restoration Foundation,501(c)(4) Civic Leagues and Social Welfare Organizations,"Boise, ID",46-5570304,"to provide assistance to western association of fish and wildlife agencies (wafwa), the member states and fish wildlife agencies of wafwa, and other natural resources support entities for a wide range of conservation projects and programs."
Xavier Charter School Inc,501(c)(3) Public Charity,"Twin Falls, ID",20-5009576,this organization has not provided guidestar with a mission statement.
Development Workshop Inc,501(c)(3) Public Charity,"Idaho Falls, ID",82-0303456,"to assist individuals who have a disability, or who are disadvantaged, to recognize and to achieve their chosen level of economic and social independence."
LAURA MOORE CUNNINGHAM FOUNDATION INC,501(c)(3) Private Non-Operating Foundation,"Boise, ID",82-6008294,"dedicated to continuing the moore and bettis families' legacy of advancing the great state of idaho, the laura moore cunningham foundation funds scholarships at idaho's colleges and universities and has a competitive grant program open to nonprofits throughout idaho.  some of our areas of interest include rural access to healthcare, educational programs for children, and programs which enrich the lives of everyday idahoans. "
Metro Community Services Inc,501(c)(3) Public Charity,"Caldwell, ID",82-0337301,provide services to the elderly and low-income individuals.
Greater Boise Chamber of Commerce,"501(c)(6) Business Leagues, etc.","Boise, ID",82-0100595,the boise metro chamber of commerce is the principal advocate for the business community dedicated to building prosperity in the region.
The Advocates for Survivors of Domestic Violence,501(c)(3) Public Charity,"Hailey, ID",94-3162848,"the advocates mission is to prevent domestic violence and sexual assault in our community through education, shelter and supportive services."
Idaho Shakespeare Festival Inc,501(c)(3) Public Charity,"Boise, ID",82-0316246,"the festival's mission is to produce great theater, entertain and educate. to realize this mission, the festival seeks to:develop an artistic home for theater artists that supports emerging actors, encourages new regional and national playwrights, promotes sustained employment opportunities for artists and attracts the very best artistic staff;educate through a range of programs, including programs and tours for k-12 children and teachers, ongoing adult education, interpretive programming, affiliations with universities and cultural organizations, as well as residencies and training opportunities for actors;illuminate human nature and our rich cultural heritage through a repertory that includes the plays of william shakespeare, the richest and most complex in the english language,together with other works from a variety of dramatic periods and genres; andpromote cultural understanding by highlighting diverse traditions & supporting artists & audiences of all backgrounds."
South Eastern Idaho Community,501(c)(3) Public Charity,"Pocatello, ID",82-0290341,"southeastern idaho community action agency, inc. (seicaa) is dedicated to providing opportunity and support for individuals and communities to thrive and reach their fullest potential, promoting self-sufficiency and greater economic independence through services, education, affordable housing and training."
South Central Community Action Partnership Inc,501(c)(3) Public Charity,"Twin Falls, ID",82-0277836,to provide a wide range of services in an effort to help improve the quality of life for people with an economic disadvantage.
Idaho Education Assn Inc,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Boise, ID",82-0129950,the idaho education association advocates for the professional and personal well-being of it's members and the vision of excellence in public education.
Isucceed Virtual High School Inc,501(c)(3) Public Charity,"Boise, ID",26-2224774,"to serve students whose needs are not being met in a traditional high school setting. isvhs will provide online education alternatives for students in idaho who, for reasons that are as unique as the students themselves, do not attend school or may benefit from a non-traditional schools setting."
Idaho Science and Technology Charter School Inc,501(c)(3) Public Charity,"Blackfoot, ID",26-2852741,"school is an independent state funded public charter school governed under title 33, chapter 52 of idaho code. it provides innovative educational curricula within the public-school system but independent from the traditional structure. virtually all revenues and expenses relate to this single program service."
College of Southern Idaho Foundation Inc,501(c)(3) Public Charity,"Twin Falls, ID",82-0388193,"the purpose of this non-profit organization shall include soliciting and/or receiving gifts of whatever kind, to be held, managed, and used exlusively for the benefit of the college, to promote excellence, and to provide scholarships, grants-in-aid, loans, etc. to students."
"United Way of Treasure Valley, Inc.",501(c)(3) Public Charity,"Boise, ID",82-0299013,"united way of treasure valley fights for the health, education and financial stability of every person in our community."
Higher Ground Inc.,501(c)(3) Public Charity,"Ketchum, ID",82-0512146,"at higher ground sun valley (hg), we enhance quality of life through inclusive therapeutic recreation and education for people of all abilities.

our focus on innovative and sustainable therapeutic impact; we ensure the positive change the participants experience with hg translate to every aspect of their lives.
since our establishment as a 501(c)3 in 1999, our programming has increased each year, while remaining steadfast in our goal to enrich the lives of people with disabilities through sports and recreation. "
Northwest Childrens Home Inc,501(c)(3) Public Charity,"Lewiston, ID",82-0200758,"institutional placement, after care supervision, remedial education programs, community based services, and social workservices to children and families."
Hillcrest Country Club Inc,501(c)(7) Social and Recreation Clubs,"Boise, ID",82-0127162,to provide social and recreational opportunities for members.
Idaho Zoological Society,501(c)(3) Public Charity,"Boise, ID",82-6005995,zoo boise connects our visitors with animals to inspire and involve our community in the conservation of wildlife worldwide.
Lewis Clark LewisClark State College Foundation Inc,501(c)(3) Public Charity,"Lewiston, ID",82-0396878,"the lewis-clark state college foundation raises money through donations to fund scholarships and other support of lewis-clark state college, a 4 year public institution in lewiston, idaho"
Hospice Visions Inc,501(c)(3) Public Charity,"Twin Falls, ID",82-0483284,"it is the mission of hospice visions, inc to provide exemplary service to patients and ther loved ones who are coping with the challenges of life limiting illness. to provide outstanding community education on issues of death, dying, quality of life, and bereavement."
Debt Reduction Services Inc,501(c)(3) Public Charity,"Boise, ID",82-0491267,"our mission is to promote financial responsibility in our clients and community members nationwide. we accomplish this through educational programs, counseling, and personalized services. we thus empower individuals to develop and use positive budgeting skills and effective spending behaviors, to use credit wisely, and to prevent, manage, and eliminate consumer debt."
Blackfoot Charter Community Learning Center,501(c)(3) Public Charity,"Blackfoot, ID",82-0524579,public education.
Liberty Charter School Inc,501(c)(3) Public Charity,"Nampa, ID",82-0512446,public education.
Boise Bible College Inc,501(c)(3) Public Charity,"Garden City, ID",82-0309302,to provide college training to men and women planning to enter the christian ministry throughout the world.
Ivg Trust,501(c)(9) Employees Associations,"Coeur D Alene, ID",81-6965795,the idaho veba group (ivg) is a coalition of public employers creating a veba-funded hra solution to meet their need for an idaho-controlled plan run with idaho based expertise.
Western Association of Fish and Wildlife Agencies,501(c)(4) Civic Leagues and Social Welfare Organizations,"Boise, ID",82-0329350,the western association of fish and wildlife agencies promotes the preservation of natural resources in order to sustain fish and wildlife in the western states.
The Academy Inc,501(c)(3) Public Charity,"Pocatello, ID",41-2193534,public education.
Sun Valley Summer Symphony Inc,501(c)(3) Public Charity,"Sun Valley, ID",82-0397940,"to provide exceptional, free-admission classical music performances that inspire and enrich lives through dynamic and engaging artistic programming and educational and cultural opportunities."
Heritage Community Charter School Inc,501(c)(3) Public Charity,"Caldwell, ID",27-3220966,"the mission of heritage community charter school is to create an atmosphere of mutual respect where students feel safe and are challenged to become their best selves as they develop a curiosity and love of learning that will continue throughout their lives and prepares them for post-secondary education, careers, and service in their communities as well educated leaders who desire to preserve a democratic society and who act with integrity and character."
Victory Charter School,501(c)(3) Public Charity,"Nampa, ID",56-2423033,public education.
John H and Orah I Brandt Foundation,501(c)(3) Private Non-Operating Foundation,"Nampa, ID",94-3124992,this organization has not provided guidestar with a mission statement.
Blue Lakes Country Club Inc,501(c)(7) Social and Recreation Clubs,"Twin Falls, ID",82-0189612,"the entity was organized exclusively for the pleasure and recreation of its members. the club operates a golf course, a clubhouse, and other recreational facilities for swimming and fishing."
Idaho Hospital Association,"501(c)(6) Business Leagues, etc.","Boise, ID",82-0303074,to provide leadership in health policy and advocacy and to provide comprehensive member services that strengthen idaho hospitals' viability and capacity to best serve their communities.
MOUNTAIN HUMANE,501(c)(3) Public Charity,"Hailey, ID",82-0351171,our mission is to change lives by connecting pets and people.
Thomas Jefferson Charter School,501(c)(3) Public Charity,"Caldwell, ID",20-0508843,it is our mission to develop virtuous citizen leaders.
Opportunities Unlimited Incorporated,501(c)(3) Public Charity,"Lewiston, ID",82-0310587,"helping people be successful in their community, and prepare them for work"
Hop & Mae Adams Foundation,501(c)(3) Private Non-Operating Foundation,"Boise, ID",27-1393341,this organization has not provided guidestar with a mission statement.
South Side Electric Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Declo, ID",82-0110465,distribute power to declo service area.
Sandpoint Charter Schools Inc,501(c)(3) Public Charity,"Sandpoint, ID",82-0505769,to provide alternate educational opportunities for idaho children.
Southeast Idaho Council of Governments,501(c)(3) Public Charity,"Pocatello, ID",82-0304303,sicog exists to connect the residents and communities of southeast idaho to public services and useful resources.
Womens and Childrens Alliance Inc,501(c)(3) Public Charity,"Boise, ID",82-0204464,"the wca provides safety, healing and freedom from domestic abuse and sexual assault."
Idaho Falls Group Homes Inc,501(c)(3) Public Charity,"Idaho Falls, ID",82-0418036,services to the developmentally disabled currently operating group homes and providing services to 27 developmentally disabled and handicapped individuals
East Central Idaho Planning and Development Association,501(c)(4) Civic Leagues and Social Welfare Organizations,"Rexburg, ID",82-0327558,the association helps
St. Vincent de Paul Southwest Idaho,501(c)(3) Public Charity,"Boise, ID",82-0504886,"at st. vincent de paul: we help our southwest idaho neighbors in need by assisting them on a person to person basis with food, housing expenses, utilities, clothing, reentry from prison, home needs, and many other ways through your generous donations of goods, food, volunteer time, and financial support."
Bronco Athletic Association Inc,501(c)(3) Public Charity,"Boise, ID",82-6026578,to promote and advance the athletic programs of boise state university and create opportunities for student athletes.
Appaloosa Horse Club,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Moscow, ID",82-0229989,"this organization's mission is to maintain the official registry of the appaloosa horse - an equine breed with a color preference; to collect, record and preserve the history and integrity of the breed; to improve, enhance and promote the appaloosa, and to honor the tradition, history and heritage of the breed."
Taylors Crossing Public Charter School,501(c)(3) Public Charity,"Idaho Falls, ID",20-2701493,public education.
Treasure Valley Transit Inc,501(c)(3) Public Charity,"Nampa, ID",82-0489459,provide transportation services
South Park Inc,501(c)(3) Public Charity,"Pocatello, ID",82-0400220,residential care for developmentally disabled individuals
Forrester Academy Inc,501(c)(3) Public Charity,"Idaho Falls, ID",47-3126055,public education.
Wood River Community Young Mens Christian Association Inc,501(c)(3) Public Charity,"Boise, ID",82-0481436,"the mission of the wood river community ymca is to build strong kids, strong families and a strong community through programs that develop the whole person in spirit, mind and body."
Sagebrush Steppe Land Trust,501(c)(3) Public Charity,"Pocatello, ID",82-6092501,"our mission is to protect and enhance natural lands, wildlife habitat, and working farms and ranches in southeastern idaho, now and for future generations."
Coeur Dalene Homes Phase II Inc,501(c)(3) Public Charity,"Coeur D Alene, ID",20-2654611,to provide christian asssisted living and alzheimer housing and assistance to medicaid and private pay residents in accordance with united states housing and urban development (hud) section 232 regulations and guidelines.
Village Charter School,501(c)(3) Public Charity,"Boise, ID",27-0716284,"to provide a high quality free public education for our students by enriching knowledge through a challenging and engaging curriculum, hands-on experience, real world application, and creative methods. each student is given the opportunity to achieve his or her full potential in a safe, supportive, loving environment preparing them for higher education, satisfying employment, and responsible citizenship. our village includes passionate, innovative and encouraging teachers, administrators, parents and community members all working together to support our students."
New West Community Capital Inc,501(c)(3) Public Charity,"Boise, ID",82-0523355,a certified community development financial institution organized to increase access to capital for affordable housing and community facilites.
Boys and Girls Clubs of the Lewis Clark Valley Inc,501(c)(3) Public Charity,"Lewiston, ID",82-6001432,"the mission of the boys & girls clubs of the lewis clark valley is: to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens"
Boise Group Homes Inc,501(c)(3) Public Charity,"Boise, ID",82-0346478,serving mentally disabled
"Idaho Legal Aid Services, Inc.",501(c)(3) Public Charity,"Boise, ID",82-0293641,"idaho legal aid services inc. is a nonprofit statewide law program dedicated to providing equal access to justice for low income people through quality advocacy, education, and representation."
White Pine Charter School Inc,501(c)(3) Public Charity,"Ammon, ID",68-0502170,none
North Idaho Stem Charter Academy Inc,501(c)(3) Public Charity,"Rathdrum, ID",27-1042057,"to provide a challenging learning environment in science, technology, engineering, and math, which maximizes individual potential and ensures students are well-equipped to meet the challenges in the world around them."
Autumngold Senior Services Inc,501(c)(3) Public Charity,"Caldwell, ID",26-4579045,"the organization's mission is twofold: providing coordination of supportive services to seniors and providing affordable housing to low and moderate income households. affordable housing activities include new construction, acquisition and renovation of single family homes for low and moderate income homebuyers. the organization sponsors section 42 apartments. it will materially participate in the developent and operation of the properties and oversee supportive services for senior communities. it is a minority owner of the general partner for the limited owner of the general partner for the limited partnerships that own properties."
THE GIBNEY FAMILY FOUNDATION INC / TGFF.org,501(c)(3) Private Non-Operating Foundation,"Meridian, ID",65-0286170,"tgff partners with charitable organizations in support of people who are blind and visually impaired and with other nonprofits who serve those facing a number of other challenges.  in the partnering process, tgff seeks to attain sustainable solutions for independence, for the nonprofit partners and the clients they serve."
Adams County Health Center Inc,501(c)(3) Public Charity,"Council, ID",20-8341138,"adams county health center provides high quality health services to residents of adams county and the surrounding area, regardless of social or economic status."
Boy Scouts of America,501(c)(3) Public Charity,"Idaho Falls, ID",82-0200747,the mission of the boy scouts of america is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the scout oath and law.
"Catholic Charities of Idaho, Inc.",501(c)(3) Public Charity,"Boise, ID",82-0524367,"rooted in the gospel, catholic charities of idaho shares god’s love with all in need by providing services and programs that support human well-being.

arraigado en el evangelio, caridades católicas de idaho comparte el amor de dios con todos los necesitados a través de los servicios y programas que apoyan el bienestar humano."
IDAHO ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN INC,501(c)(3) Public Charity,"Boise, ID",82-0409133,"idaho aeyc's mission is to advance idaho's early learning profession and advocate for children, families and those who work on behalf of young children.

idaho aeyc is a proud affiliate of naeyc, a professional membership organization committed to transforming the lives of young children and delivering the promise of high-quality early learning."
American Heritage Charter School,501(c)(3) Public Charity,"Idaho Falls, ID",45-3753476,public education.
Grindstone Butte Mutual Canal Company,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Boise, ID",82-0304588,to maintain an irrigation system needed to provide water to farms of the canal company's members.
Clearwater Potlatch ClearwaterPotlatch Timber Protective Association Inc,501(c)(4) Civic Leagues and Social Welfare Organizations,"Orofino, ID",82-0263862,fire protection
Anser of Idaho Inc,501(c)(3) Public Charity,"Garden City, ID",84-1390547,public education.
BECAUSE INTERNATIONAL CORP,501(c)(3) Public Charity,"Nampa, ID",26-4190308, our mission is to use products as solutions to alleviate poverty by meeting immediate needs and creating opportunities for empowerment.
Lutherhaven Ministries Inc,501(c)(3) Public Charity,"Coeur D Alene, ID",91-6000231,"encounter creation. create community. commune with christ!  we value people, relationships, education, service, caring, the outdoors and abundant life. "
Boys and Girls Clubs of Ada County,501(c)(3) Public Charity,"Garden City, ID",82-0481687,"to inspire and empower all young people, especially those who need us most, to realize their full potential as productive, responsible and caring citizens."
St Lukes Wood River Foundation Inc,501(c)(3) Public Charity,"Ketchum, ID",23-7288535,to accelerate the advancement of innovative programs and services that fundamentally improve health care experiences in our community.
IDAHO CONSERVATION LEAGUE INC,501(c)(3) Public Charity,"Boise, ID",82-6042478,"the idaho conservation league works to protect idaho's environment by protecting the air you breathe, the water you drink and the land you love."
"Boise Public Schools Education Foundation, Inc.",501(c)(3) Public Charity,"Boise, ID",82-0400689,to facilitate donations to support innovative and motivating programs in the boise school district.
United Steelworkers,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Mullan, ID",82-0210949,"the mission of the organization includes, but is not limited to on behalf of its members collertye baraajninggreiyaf procedures arbitration, strike benem education and to improve the worlungconditions of its members."
Foothills School of Art & Sciences,501(c)(3) Public Charity,"Boise, ID",82-0452369,"at foothills school of arts and sciences, we ignite a passion for learning through a progressive approach to education. in this vibrant learning community, education is an active and collaborative experience. through a challenging inquiry based curriculum, foothills students explore their ideas and develop curiosity, creativity, critical thinking and confidence. embracing each individual's unique strengths and contributions, we guide children to know themselves and to understand their role in a global community."
Sun Valley Museum of Art,501(c)(3) Public Charity,"Sun Valley, ID",23-7113276,the mission of the sun valley museum of art is to enrich our community through transformative arts and educational experiences.
Girl Scouts of Silver Sage Council Inc,501(c)(3) Public Charity,"Boise, ID",82-0259644,"girl scouts of silver sage council is a girl-led youth development organization that, along with a team of 2,500 local volunteers, delivers relevant educational leadership programs that help build girls of courage, confidence, and character who positively impact the communities in which they live. "
Gem Prep Nampa Inc,501(c)(3) Public Charity,"Deary, ID",47-3817130,"provide resources and support to parents who have elected to educate their children in a personalized, blended learning environment."
Idaho Regional Optical Network Inc,501(c)(3) Public Charity,"Boise, ID",26-0698591,provide high speed economical optical network infrastructure for the state of idaho.
New Saint Andrews College Inc,501(c)(3) Public Charity,"Moscow, ID",38-3906568,the purpose of new saint andrews is to graduate leaders who shape culture living faithfully under the lordship of jesus christ.
Big Wood Canal Company,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Shoshone, ID",82-0099260,to maintain the canal system and deliver water to the stockholders (farmers).
Idaho Virtual Education Partners Incorporated,501(c)(3) Public Charity,"Star, ID",26-3814847,"to harness the power of a flexible learning environment and modern educational technology to serve learners with diverse backgrounds and goals who seek an education alternative that stimulates and supports independent learning. through the strength and flexibility of its standards-based online curriculum, combined with superior individualized support, we will create a learning environment that empowers students to rise to the challenge of independent, self-directed learning."
Port of Hope Centers Inc,501(c)(3) Public Charity,"Nampa, ID",82-0299178,rehabilitate alcohol and drug abusers
NAMPA COMPASSION INC,501(c)(3) Public Charity,"Nampa, ID",84-1398889,as a faith based humanitarian relief organization we supply medical goods in order to relieve pain and suffering and make it easier for medical personnel to perform their work in developing countries by having the equipment and supplies they need to do their job more effectively. we collect medical equipment and supplies and send them to those in need both locally and globally. 
Boys and Girls Club of Magic Valley Inc,501(c)(3) Public Charity,"Twin Falls, ID",94-3176622,"to inspire and enable all young people, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible, and caring citizens."
Idaho Primary Care Association,501(c)(3) Public Charity,"Boise, ID",82-0376764,ipca supports community health centers in providing high-quality and affordable primary care to all idahoans through training and technical support. ipca keeps health centers current on issues and trends affecting the changing healthcare landscape.
Rolling Hills Charter School Inc,501(c)(3) Public Charity,"Boise, ID",20-1868297,public education (local educational agency).
Idaho Coalition Against Sexual and Domestic Violence Inc,501(c)(3) Public Charity,"Boise, ID",82-0410899,"to engage voices to create change in the prevention, intervention, and response to domestic violence, dating violence, stalking and sexual assault. the idaho coalition against sexual & domestic violence works to be a leader in the movement to end violence against women and girls, men and boys across the life span before violence has occurred because violence is preventable."
Future Public School Inc,501(c)(3) Public Charity,"Boise, ID",82-2354868,public education.
Disability Action Center NW Inc,501(c)(3) Public Charity,"Moscow, ID",82-0458076,independent living for the disabled
Pine Tree Community Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Grangeville, ID",82-0232708,"promoting the financial well-being of 3,960 members by providing loan and savings services at competitive rates"
Seven Oaks Community Homes,501(c)(3) Public Charity,"Boise, ID",20-0141116,residential treatment for developmentally disabled
Walker Center for Alcoholism and Drug Abuse Inc,501(c)(3) Public Charity,"Gooding, ID",82-0446265,rehabilitative services for drug and alcohol abuse.
Pocatello Community Charter School,501(c)(3) Public Charity,"Pocatello, ID",82-0506158,public education.
Compass International Inc,501(c)(3) Public Charity,"Coeur D Alene, ID",82-0479972,"compass international is a christian not-for-profit non-denominational ministry providing organized conferences, holy land tours, and educational materials including audio/video dvds, books, posters, radio broadcasts, daily email and web site devotionals that address various biblical subjects designed to encourage a greater depth of christian understanding and maturity in our lord and savior jesus christ."
Idaho Association of Counties,501(c)(4) Civic Leagues and Social Welfare Organizations,"Boise, ID",82-0328151,"iac promotes county interests, encourages ethical behavior advocates good public policy on behalf of idaho counties, supports best practices, and provides education and training to assist idaho county officials in performance of public service."
Children's Home Society of Idaho,501(c)(3) Public Charity,"Boise, ID",82-0201128,"the mission of the children's home society of idaho is to improve the lives of idaho's children.  today we accomplish this mission by operating the warm springs counseling center, which provides superior mental, emotional and behavioral health services to children and their families, regardless of ability to pay."
Aberdeen Springfield AberdeenSpringfield Canal CO,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Aberdeen, ID",82-0093970,"provide management, maintenance and delivery of water control for the company's service area."
Legacy Public Charter School,501(c)(3) Public Charity,"Nampa, ID",27-2515468,public education.
Mott Family Foundation Inc,501(c)(3) Private Non-Operating Foundation,"Ketchum, ID",82-0517818,this organization has not provided guidestar with a mission statement.
Faith Ministries Inc,501(c)(3) Public Charity,"Moscow, ID",82-0361222,our mission is education. we have approximately 440 students from preschool through 12th grade.
Idaho Crop Improvement Association Inc,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Meridian, ID",82-0182466,the association certifies seed crops of independent growers in idaho and participates in education and research programs.
ONE STONE INC,501(c)(3) Public Charity,"Boise, ID",26-3599715,"one stone makes students better leaders and the world a better place. our program empowers high school students to learn and practice 21st century skills through experiential service, social entrepreneurship, and a new approach to learning that connects students to their purpose and their passion. we serve approximately 170 teens from 17 different schools through our community based programs (project good, two birds, and solution lab) and our independent high school. 

one stone offers all programming at no cost to kids and families to ensure equality of voice. this is possible through the generous support of the businesses, foundations, corporate partners, and individual donors who believe in our work."
KOOTENAI HEALTH FOUNDATION INC,501(c)(3) Public Charity,"Coeur D Alene, ID",82-0380784,"the kootenai health foundation's purpose is to steward donors' investments and provide financial resources to kootenai health to impact patient care through the expansion of facilities, best practice clinical programs, state-of-the-art equipment, education and support services. "
Sun Valley Marketing Alliance Inc,"501(c)(6) Business Leagues, etc.","Ketchum, ID",82-0254694,"the mission of sun valley marketing alliance, inc. is to raise awareness of sun valley, idaho and influence consumers in an effort to sustainably increase visitation from our target markets and valued guests."
Gem Prep Meridian Inc,501(c)(3) Public Charity,"Deary, ID",37-1848621,"provide resources and support to parents who have elected to educate their children in a personalized, blended learning environment."
Regents of the University of Idaho Group Return,501(c)(3) Public Charity,"Moscow, ID",83-4520477,"to provide positive youth development to idaho youth by focusing on science, healthy living, and citizenship by promoting and encouraging volunteers to help youth flourish."
Chc Foundation,501(c)(3) Private Non-Operating Foundation,"Idaho Falls, ID",82-0211282,this organization has not provided guidestar with a mission statement.
Boise Philharmonic Association Inc,501(c)(3) Public Charity,"Boise, ID",82-6006000,"to musically enrich, entertain, and educate our community"
Life A Center for Independent Living,501(c)(3) Public Charity,"Pocatello, ID",82-0472257,"life inc. empowers people with diabilities to manage their own lives, make their own choices, and give them the information and knowledge to assist them to live with independence."
NHS Lending Inc,501(c)(3) Public Charity,"Boise, ID",82-0532242,to lead in creating innovative housing solutions for underserved populations through lending and strategic partnerships that contribute to building assets and stronger communities.
North Valley Academy Inc,501(c)(3) Public Charity,"Gooding, ID",26-0820021,public education (local educational agency).
Advocate Health and Hospitals Corporation,501(c)(3) Public Charity,"Downers Grove, IL",36-2169147,"the mission of advocate health care is to serve the health needs of individuals, families and communities through a holistic philosophy rooted in our fundamental understanding of human beings as created in the image of god."
Northwestern Memorial Healthcare,501(c)(3) Public Charity,"Chicago, IL",36-4724966,"northwestern memorial healthcare is an integrated healthcare system, consisting of multiple hospitals (including northwestern memorial hospital, an academic medical center) and networks of physicians and healthcare professionals, where the patient comes first. we are an organization of caregivers who aspire to consistently high standards of quality, cost-effectiveness and patient satisfaction. we seek to improve the health of the communities we serve by delivering a broad range of services with sensitivity to the individual needs of our patients and their families. we are bonded in an essential academic and service relationship with feinberg school of medicine of northwestern university. the quality of our services is enhanced through their integration with education and research in an environment that encourages excellence of practice, critical inquiry and learning."
University of Chicago,501(c)(3) Public Charity,"Chicago, IL",36-2177139,"the university of chicago is an unparalleled research institution, known throughout the world for its bold pursuit of knowledge, its extraordinary dedication to both graduate and undergraduate education, and its legacy of revolutionary discovery. chicago's pioneering spirit, incomparable scholarship, and interdisciplinary approach to problem-solving set the global standard for intellectual inquiry and advancement."
Central States Southeast & Southwest Areas Health & Welfare F,501(c)(9) Employees Associations,"Chicago, IL",36-2154936,to provide health and welfare benefits to participants.
Northwestern University,501(c)(3) Public Charity,"Evanston, IL",36-2167817,"education and research - the mission of northwestern university is to establish and enhance excellence in its acade mic and professional programs this includes superior undergraduate education for a highly selective student body in a comprehensive range of academic and professional fields at the graduate level, northwestern's role encompasses offerings in the major academic and professional fields, closely related to research, creative activities, and clinical services"
Feeding America,501(c)(3) Public Charity,"Chicago, IL",36-3673599,our mission is to feed america's hungry through a nationwide network of member food banks and engage the country in the fight to end hunger.
Osf Healthcare System,501(c)(3) Public Charity,"Peoria, IL",37-0813229,"osf healthcare system is a catholic integrated health care delivery system which during its fiscal year 2017 operated 11 hospitals, 5 home health agencies, 4 hospices, and employed approximately 722 physicians. all patients are accepted regardless of their ability to pay. all facilities, services, physicians and other professional staff of osf healthcare system serve all patients without regard to race, religion, age, sex, national origin, payer source or ability to pay. the board of directors has adopted charity care policies and procedures which apply for all facilities and services of the corporation. the availability of charity care is communicated to patients in numerous ways, including use of financial counselors, patient information brochures, and notices on patient billings. charity care applications and instructions are available on websites maintained by the corporation and upon a request made to any of the corporation's facilities or offices."
Rush University Medical Center,501(c)(3) Public Charity,"Chicago, IL",36-2174823,"rush's mission is to provide the very best care for our patients our education & research endeavors, community service programs & relationships with other hospitals are dedicated to enhancing excellence in parient care for the diverse communities of the chicago area, now & in the future"
University of Chicago Medical Center,501(c)(3) Public Charity,"Chicago, IL",36-3488183,see schedule o
NorthShore University HealthSystem,501(c)(3) Public Charity,"Evanston, IL",36-2167060,"the core mission of northshore university healthsystem is to ""preserve and improve human life."" this mission will be achieved through the provision of superior clinical care, academic excellence, and innovative research."
Modern Woodmen of America,501(c)(8) Fraternal Beneficiary Societies,"Rock Island, IL",36-1493430,to improve the quality of life for our members.
Loyola University Medical Center,501(c)(3) Public Charity,"Maywood, IL",36-4015560,"we, loyola university health system and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities.lumc is a member of loyola university health system and trinity health."
